"Time","Name","RMSE"
"6/13/2016 23:29","Abhishek","1.4"
"1465843889","Pramod","0.25"
"1465845178","Abhishek","0.5"
"1465845365","Kranthi","0.3"
"1465845365","Karthik","0.2"
"1465845365","Arko","0.25"
"1465846612.02078","akuppili","0.25"
"1465847061.77055","akuppili","0.25"
"1465847593.01371","akuppili","0.276666666666667"
"1465847634.30323","akuppili","0.276666666666667"
"1465847639.85293","akuppili","0.276666666666667"
"1465847658.78067","akuppili","0.276666666666667"
"1465847725.48611","akuppili","0.0166666666666667"
"1465847747.59786","akuppili","0.276666666666667"
